Name	Status	Manufacturer	Model	Serial Number	Ownership	End Date	Calibration Due	current location	history
	Retired	Sigicom	V12	33980	Moniteye		17/07/2026	Part Exchanged for new C22	['Available - AN', 'Available - AN', 'Available - AN', 'Available - AN', 'Available - AN', 'Available - RPB', 'Available - RPB', 'Available - RPB', 'Available - RPB', 'Available - RPB', 'Available - RPB', 'Available - RPB', 'Available - RPB', 'Available - RPB', 'Available - RPB', 'Available - RPB', 'Available - RPB', 'Available - RPB', 'Part Exchanged for new C22', 'Part Exchanged for new C22', 'Part Exchanged for new C22', 'Part Exchanged for new C22', 'Part Exchanged for new C22', 'Part Exchanged for new C22', 'Part Exchanged for new C22', 'Part Exchanged for new C22', 'Part Exchanged for new C22', 'Part Exchanged for new C22', 'Part Exchanged for new C22', 'Part Exchanged for new C22', 'Part Exchanged for new C22', 'Part Exchanged for new C22', 'Part Exchanged for new C22']
	Beyond Repair	Sigicom	S50	14893	Moniteye		22/09/2024	Retired	['Damaged Microphone Capsule - Out of Service', '25321 - Candelan Way, High Legh - United Utilities', '25321 - Candelan Way, High Legh - United Utilities', '25321 - Candelan Way, High Legh - United Utilities', '25321 - Candelan Way, High Legh - United Utilities', '25321 - Candelan Way, High Legh - United Utilities', '25321 - Candelan Way, High Legh - United Utilities', '25321 - Candelan Way, High Legh - United Utilities', '25321 - Candelan Way, High Legh - United Utilities', '25321 - Candelan Way, High Legh - United Utilities', '25321 - Candelan Way, High Legh - United Utilities', '25321 - Candelan Way, High Legh - United Utilities', '25321 - Candelan Way, High Legh - United Utilities', '25321 - Candelan Way, High Legh - United Utilities', '25321 - Candelan Way, High Legh - United Utilities', '25321 - Candelan Way, High Legh - United Utilities', '25321 - Candelan Way, High Legh - United Utilities', '25321 - Candelan Way, High Legh - United Utilities', '25321 - Candelan Way, High Legh - United Utilities', '25321 - Candelan Way, High Legh - United Utilities', 'Retired', 'Retired', 'Retired', 'Retired', 'Retired', 'Retired', 'Retired', 'Retired', 'Retired', 'Retired', 'Retired', 'Retired', 'Retired']
	Retired	Sigicom	V12	33970	Moniteye		17/07/2026	Part Exchanged for new C22	['Available - AN', 'Available - AN', 'Available - AN', 'Available - AN', 'Available - AN', '25486 - Briarlands Close - Bramhall Methodist Church', 'Available - AN', 'Available - AN', 'Available - AN', 'Available - AN', 'Available - AN', 'Available - RPB', 'Available - RPB', 'Available - RPB', 'Available - RPB', 'Available - RPB', 'Available - RPB', 'Available - RPB', 'Part Exchanged for new C22', 'Part Exchanged for new C22', 'Part Exchanged for new C22', 'Part Exchanged for new C22', 'Part Exchanged for new C22', 'Part Exchanged for new C22', 'Part Exchanged for new C22', 'Part Exchanged for new C22', 'Part Exchanged for new C22', 'Part Exchanged for new C22', 'Part Exchanged for new C22', 'Part Exchanged for new C22', 'Part Exchanged for new C22', 'Part Exchanged for new C22', 'Part Exchanged for new C22']
	Good	Sigicom	C22	116410	Moniteye	???	04/07/2026	25461 - Hoyles Lane	['25461 - Hoyles Lane', '25461 - Hoyles Lane', '25461 - Hoyles Lane', '25461 - Hoyles Lane', '25461 - Hoyles Lane', '25461 - Hoyles Lane', '25461 - Hoyles Lane', '25461 - Hoyles Lane', '25461 - Hoyles Lane', '25461 - Hoyles Lane', '25461 - Hoyles Lane', '25461 - Hoyles Lane', '25461 - Hoyles Lane', '25461 - Hoyles Lane', '25461 - Hoyles Lane', '25461 - Hoyles Lane', '25461 - Hoyles Lane', '25461 - Hoyles Lane', '25461 - Hoyles Lane', '25461 - Hoyles Lane', '25461 - Hoyles Lane', '25461 - Hoyles Lane', '25461 - Hoyles Lane', '25461 - Hoyles Lane', '25461 - Hoyles Lane', '25461 - Hoyles Lane', '25461 - Hoyles Lane', '25461 - Hoyles Lane', '25461 - Hoyles Lane', '25461 - Hoyles Lane', '25461 - Hoyles Lane', '25461 - Hoyles Lane', '25461 - Hoyles Lane']
Acacia	Good	Sigicom	C50	117042	Moniteye	09/08/2026	10/07/2026	25543 - 7 Bramerton Street	['Available - RPB', 'Available - RPB', 'Available - RPB', 'Available - RPB', 'Available - RPB', 'Available - RPB', 'Available - RPB', 'Available - RPB', 'Available - RPB', 'Available - RPB', '25537 - Land at Thorley House, Bishops ', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street', '25543 - 7 Bramerton Street']
Buttercup	Good	Sigicom	C50	117043	Moniteye	???	10/07/2026	25151 - Wood End	['25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End']
	Good	Sigicom	C22	116823	Moniteye	16/07/2025	15/08/2026	25514 - Pembroke	['25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke']
	Good	Sigicom	C22	116824	Moniteye	16/07/2025	15/08/2026	25514 - Pembroke	['25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke']
	Good	Sigicom	C22	116829	Moniteye	???	15/08/2026	25151 - Wood End	['25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End', '25151 - Wood End']
	Good	Sigicom	C22	116403	Moniteye	16/07/2025	07/06/2026	25514 - Pembroke	['25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke', '25514 - Pembroke']
Hire D10 2	Returned	Sigicom	D10	112393	Sigicom			Returned to Sigicom 18/03/2025 by RPB	['25322 - Candelan Way, High Legh - United Utilities', '25322 - Candelan Way, High Legh - United Utilities', '25322 - Candelan Way, High Legh - United Utilities', '25322 - Candelan Way, High Legh - United Utilities', '25322 - Candelan Way, High Legh - United Utilities', '25322 - Candelan Way, High Legh - United Utilities', '25322 - Candelan Way, High Legh - United Utilities', '25322 - Candelan Way, High Legh - United Utilities', '25322 - Candelan Way, High Legh - United Utilities', '25322 - Candelan Way, High Legh - United Utilities', '25322 - Candelan Way, High Legh - United Utilities', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB']
Hire C22 2	Returned	Sigicom	C22	107565	Sigicom		TBC	Returned to Sigicom 18/03/2025 by RPB	['25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB']
Hire C22 3	Returned	Sigicom	C22	111718	Sigicom		TBC	Returned to Sigicom 18/03/2025 by RPB	['25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB', 'Returned to Sigicom 18/03/2025 by RPB']
Hire Zephyr 1	Returned	EarthSense	Zephyr	Z01174	EarthSense		TBC	Returned to EarthSense 16/01/2025	['25517 - Southwater, Horsham', 'Available - RPB', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025']
Hire Zephyr 2	Returned	EarthSense	Zephyr	Z01177	EarthSense		TBC	Returned to EarthSense 16/01/2025	['25517 - Southwater, Horsham', 'Available - RPB', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025', 'Returned to EarthSense 16/01/2025']
Hire C22 3	Returned	Sigicom	C22	107575	Sigicom	15/05/2025	26/06/2024	Returned to Sigicom 21/05/2025 by RPB	['25521 - Michigan Drive', '25521 - Michigan Drive', '25521 - Michigan Drive', '25521 - Michigan Drive', '25521 - Michigan Drive', '25521 - Michigan Drive', '25521 - Michigan Drive', '25521 - Michigan Drive', '25521 - Michigan Drive', '25521 - Michigan Drive', '25521 - Michigan Drive', '25521 - Michigan Drive', '25521 - Michigan Drive', '25521 - Michigan Drive', '25521 - Michigan Drive', '25521 - Michigan Drive', '25521 - Michigan Drive', '25521 - Michigan Drive', '25521 - Michigan Drive', '25521 - Michigan Drive', 'Returned to Sigicom 21/05/2025 by RPB', 'Returned to Sigicom 21/05/2025 by RPB', 'Returned to Sigicom 21/05/2025 by RPB', 'Returned to Sigicom 21/05/2025 by RPB', 'Returned to Sigicom 21/05/2025 by RPB', 'Returned to Sigicom 21/05/2025 by RPB', 'Returned to Sigicom 21/05/2025 by RPB', 'Returned to Sigicom 21/05/2025 by RPB', 'Returned to Sigicom 21/05/2025 by RPB', 'Returned to Sigicom 21/05/2025 by RPB', 'Returned to Sigicom 21/05/2025 by RPB', 'Returned to Sigicom 21/05/2025 by RPB', 'Returned to Sigicom 21/05/2025 by RPB']
Hire C22 4	Returned	Sigicom	C22	101627	Sigicom		TBC	Returned to Sigicom 07/01/2025 by RPB	['Available - RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB']
Hire C50 1	Returned	Sigicom	C50	117004	Sigicom		TBC	Returned to Sigicom 07/01/2025 by RPB	['Available - RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB', 'Returned to Sigicom 07/01/2025 by RPB']
Alice	Good	EarthSense	Zephyr	ZO1811	Moniteye	17/08/2025	02/12/2026	25517 - Southwater, Horsham	['Not Yet Purchased', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham']
Beatrice	Good	EarthSense	Zephyr	ZO1897	Moniteye	17/08/2025	03/12/2026	25517 - Southwater, Horsham	['Not Yet Purchased', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham', '25517 - Southwater, Horsham']
	MIA	Sigicom	C22	112909	Moniteye			Lost at Dunscar Bridge Fishing Lake - 222730	['Lost at Dunscar Bridge Fishing Lake - 222730', 'Lost at Dunscar Bridge Fishing Lake - 222730', 'Lost at Dunscar Bridge Fishing Lake - 222730', 'Lost at Dunscar Bridge Fishing Lake - 222730', 'Lost at Dunscar Bridge Fishing Lake - 222730', 'Lost at Dunscar Bridge Fishing Lake - 222730', 'Lost at Dunscar Bridge Fishing Lake - 222730', 'Lost at Dunscar Bridge Fishing Lake - 222730', 'Lost at Dunscar Bridge Fishing Lake - 222730', 'Lost at Dunscar Bridge Fishing Lake - 222730', 'Lost at Dunscar Bridge Fishing Lake - 222730', 'Lost at Dunscar Bridge Fishing Lake - 222730', 'Lost at Dunscar Bridge Fishing Lake - 222730', 'Lost at Dunscar Bridge Fishing Lake - 222730', 'Lost at Dunscar Bridge Fishing Lake - 222730', 'Lost at Dunscar Bridge Fishing Lake - 222730', 'Lost at Dunscar Bridge Fishing Lake - 222730', 'Lost at Dunscar Bridge Fishing Lake - 222730', 'Lost at Dunscar Bridge Fishing Lake - 222730', 'Lost at Dunscar Bridge Fishing Lake - 222730', 'Lost at Dunscar Bridge Fishing Lake - 222730', 'Lost at Dunscar Bridge Fishing Lake - 222730', 'Lost at Dunscar Bridge Fishing Lake - 222730', 'Lost at Dunscar Bridge Fishing Lake - 222730', 'Lost at Dunscar Bridge Fishing Lake - 222730', 'Lost at Dunscar Bridge Fishing Lake - 222730', 'Lost at Dunscar Bridge Fishing Lake - 222730', 'Lost at Dunscar Bridge Fishing Lake - 222730', 'Lost at Dunscar Bridge Fishing Lake - 222730', 'Lost at Dunscar Bridge Fishing Lake - 222730', 'Lost at Dunscar Bridge Fishing Lake - 222730', 'Lost at Dunscar Bridge Fishing Lake - 222730', 'Lost at Dunscar Bridge Fishing Lake - 222730']
Hire C22 4	Returned	Sigicom	C22	117668	Sigicom		TBC	Returned to Sigicom 21/05/2025 by RPB	['Not Yet Hired', 'Not Yet Hired', 'Not Yet Hired', 'Not Yet Hired', '25388 - Vyrnwy Scheme - 22 Ramsay Close', '25388 - Vyrnwy Scheme - 22 Ramsay Close', '25388 - Vyrnwy Scheme - 22 Ramsay Close', '25388 - Vyrnwy Scheme - 22 Ramsay Close', '25388 - Vyrnwy Scheme - 22 Ramsay Close', '25388 - Vyrnwy Scheme - 22 Ramsay Close', '25388 - Vyrnwy Scheme - 22 Ramsay Close', '25388 - Vyrnwy Scheme - 22 Ramsay Close', '25388 - Vyrnwy Scheme - 22 Ramsay Close', '25388 - Vyrnwy Scheme - 22 Ramsay Close', '25388 - Vyrnwy Scheme - 22 Ramsay Close', '25388 - Vyrnwy Scheme - 22 Ramsay Close', '25388 - Vyrnwy Scheme - 22 Ramsay Close', '25388 - Vyrnwy Scheme - 22 Ramsay Close', '25388 - Vyrnwy Scheme - 22 Ramsay Close', '25388 - Vyrnwy Scheme - 22 Ramsay Close', 'Returned to Sigicom 21/05/2025 by RPB', 'Returned to Sigicom 21/05/2025 by RPB', 'Returned to Sigicom 21/05/2025 by RPB', 'Returned to Sigicom 21/05/2025 by RPB', 'Returned to Sigicom 21/05/2025 by RPB', 'Returned to Sigicom 21/05/2025 by RPB', 'Returned to Sigicom 21/05/2025 by RPB', 'Returned to Sigicom 21/05/2025 by RPB', 'Returned to Sigicom 21/05/2025 by RPB', 'Returned to Sigicom 21/05/2025 by RPB', 'Returned to Sigicom 21/05/2025 by RPB', 'Returned to Sigicom 21/05/2025 by RPB', 'Returned to Sigicom 21/05/2025 by RPB']
